date,close,high,low,open,volume,tic,day
2014-01-01,247.59727478027344,250.0498688561293,246.83085009552883,249.37922532905705,2849425,AXISBANK.NS,2
2014-01-01,148.04991149902344,149.0849060738597,147.57135641740393,148.68426257439793,4492436,HDFCBANK.NS,2
2014-01-01,463.6255798339844,465.28619854136605,461.1549719553799,462.2485537461556,251204,HINDUNILVR.NS,2
2014-01-01,177.51210021972656,178.8624077187179,176.59033919391655,178.02958057005762,3102869,ICICIBANK.NS,2
2014-01-01,309.4784851074219,312.2448729500776,308.94752147560666,311.62020472754244,1478688,INFY.NS,2
2014-01-01,135.26754760742188,135.68710787784207,134.7221092829669,135.22559158037987,1930884,ITC.NS,2
2014-01-01,591.5881958007812,597.8720065810517,590.3979146221933,595.242216588773,694318,LT.NS,2
2014-01-01,187.46731567382812,189.46052632758585,187.21420263089658,189.2917796056893,5849398,RELIANCE.NS,2
2014-01-01,152.29014587402344,153.1400134839308,151.96227415687423,152.88979143702517,5904780,SBIN.NS,2
2014-01-01,800.3021850585938,811.8980558292102,799.4845443722286,810.26277445648,529952,TCS.NS,2
2014-01-02,243.7842254638672,253.88201699046866,242.06931610607495,247.55891185194056,12972060,AXISBANK.NS,3
2014-01-02,146.23587036132812,150.18668725465167,145.46796238895,148.01652022874157,7228992,HDFCBANK.NS,3
2014-01-02,455.5656433105469,466.37963682401454,452.48745765292733,462.5319541928134,531660,HINDUNILVR.NS,3
2014-01-02,173.93826293945312,180.79488518384073,173.04884263315634,177.2614697592465,11321513,ICICIBANK.NS,3
2014-01-02,310.59844970703125,313.0480373178713,309.0546223606379,309.0546223606379,4404744,INFY.NS,3
2014-01-02,132.14183044433594,136.35845737259928,131.86912116884125,135.24660734527885,7046088,ITC.NS,3
2014-01-02,573.5950927734375,597.8720561193546,569.3043931014505,590.8685410388737,2322501,LT.NS,3
2014-01-02,184.55661010742188,188.9859690879159,183.52309441995607,187.23531144598732,6023632,RELIANCE.NS,3
2014-01-02,150.3530731201172,155.82329151347642,149.45575766319388,152.36341942287018,19451900,SBIN.NS,3
2014-01-02,805.3937377929688,813.5703239634557,801.361157863672,805.0220747852194,1726948,TCS.NS,3
2014-01-03,241.59986877441406,243.24770794200404,238.6682523493285,241.04421533710726,12018740,AXISBANK.NS,4
2014-01-03,147.59361267089844,148.23910369165603,144.6778039032679,145.1229663768164,6513184,HDFCBANK.NS,4
2014-01-03,457.6717834472656,459.61589575505496,452.04200560342093,453.62159067339604,1018173,HINDUNILVR.NS,4
2014-01-03,172.51516723632812,173.84120885455758,168.98982748121185,172.7092257484158,15567502,ICICIBANK.NS,4
